# trajectory data of sequence CCTV
# recorded at 12 fps, extracted at 2 fps and then interpolated at 10 fps for final output
# recording started at 2022-12-09T20:13:35+01:00
# z coordinate is the estimated height of person
# x_RGF and y_RGF are coordinates (in meters) in the RGF-93 Lambert-93 coordinate system (EPSG:2154)
# t/s is the time (number of seconds) using as reference date Friday, Dec. 9th at 20:00:00 (UTC+1)
# id frame x/m y/m z/m t/s x_RGF y_RGF
109 4 17.837 -5.976 1.8 813.400 842516.95 6520321.35
109 5 17.840 -5.944 1.8 813.500 842516.92 6520321.35
109 6 17.837 -5.920 1.8 813.600 842516.89 6520321.34
109 7 17.833 -5.896 1.8 813.700 842516.87 6520321.33
109 8 17.830 -5.872 1.8 813.800 842516.85 6520321.33
109 9 17.826 -5.848 1.8 813.900 842516.83 6520321.32
109 10 17.823 -5.824 1.8 814.000 842516.80 6520321.31
109 11 17.790 -5.803 1.8 814.100 842516.79 6520321.28
109 12 17.758 -5.781 1.8 814.200 842516.77 6520321.24
109 13 17.726 -5.759 1.8 814.300 842516.76 6520321.20
109 14 17.693 -5.737 1.8 814.400 842516.74 6520321.17
109 15 17.661 -5.715 1.8 814.500 842516.72 6520321.13
109 16 17.644 -5.708 1.8 814.600 842516.72 6520321.12
109 17 17.627 -5.701 1.8 814.700 842516.72 6520321.10
109 18 17.611 -5.694 1.8 814.800 842516.71 6520321.08
109 19 17.594 -5.687 1.8 814.900 842516.71 6520321.06
109 20 17.577 -5.680 1.8 815.000 842516.71 6520321.04
109 21 17.600 -5.622 1.8 815.100 842516.65 6520321.06
109 22 17.623 -5.564 1.8 815.200 842516.58 6520321.07
109 23 17.646 -5.505 1.8 815.300 842516.52 6520321.08
109 24 17.669 -5.447 1.8 815.400 842516.46 6520321.09
109 25 17.692 -5.389 1.8 815.500 842516.40 6520321.10
109 26 17.658 -5.383 1.8 815.600 842516.40 6520321.07
109 27 17.624 -5.377 1.8 815.700 842516.40 6520321.03
109 28 17.589 -5.371 1.8 815.800 842516.40 6520321.00
109 29 17.555 -5.366 1.8 815.900 842516.40 6520320.96
109 30 17.521 -5.360 1.8 816.000 842516.40 6520320.93
109 31 17.499 -5.345 1.8 816.100 842516.39 6520320.91
109 32 17.477 -5.330 1.8 816.200 842516.38 6520320.88
109 33 17.455 -5.316 1.8 816.300 842516.37 6520320.86
109 34 17.434 -5.301 1.8 816.400 842516.36 6520320.83
109 35 17.412 -5.286 1.8 816.500 842516.35 6520320.81
109 36 17.425 -5.269 1.8 816.600 842516.33 6520320.82
109 37 17.438 -5.252 1.8 816.700 842516.31 6520320.83
109 38 17.451 -5.234 1.8 816.800 842516.29 6520320.84
109 39 17.465 -5.217 1.8 816.900 842516.27 6520320.85
109 40 17.478 -5.200 1.8 817.000 842516.25 6520320.86
109 41 17.505 -5.099 1.8 817.100 842516.15 6520320.87
109 42 17.532 -4.998 1.8 817.200 842516.05 6520320.87
109 43 17.559 -4.898 1.8 817.300 842515.94 6520320.88
109 44 17.586 -4.797 1.8 817.400 842515.84 6520320.89
109 45 17.612 -4.696 1.8 817.500 842515.73 6520320.90
109 46 17.645 -4.727 1.8 817.600 842515.76 6520320.93
109 47 17.677 -4.758 1.8 817.700 842515.78 6520320.97
109 48 17.709 -4.789 1.8 817.800 842515.81 6520321.01
109 49 17.741 -4.819 1.8 817.900 842515.83 6520321.05
109 50 17.773 -4.850 1.8 818.000 842515.85 6520321.08
109 51 17.774 -4.842 1.8 818.100 842515.85 6520321.08
109 52 17.775 -4.834 1.8 818.200 842515.84 6520321.08
109 53 17.775 -4.825 1.8 818.300 842515.83 6520321.08
109 54 17.776 -4.817 1.8 818.400 842515.82 6520321.08
109 55 17.777 -4.809 1.8 818.500 842515.81 6520321.08
109 56 17.768 -4.776 1.8 818.600 842515.78 6520321.07
109 57 17.760 -4.744 1.8 818.700 842515.75 6520321.05
109 58 17.751 -4.711 1.8 818.800 842515.72 6520321.04
109 59 17.743 -4.679 1.8 818.900 842515.69 6520321.02
109 60 17.734 -4.646 1.8 819.000 842515.66 6520321.01
109 61 17.738 -4.604 1.8 819.100 842515.62 6520321.00
109 62 17.742 -4.562 1.8 819.200 842515.58 6520321.00
109 63 17.746 -4.520 1.8 819.300 842515.54 6520321.00
109 64 17.750 -4.479 1.8 819.400 842515.49 6520320.99
109 65 17.754 -4.437 1.8 819.500 842515.45 6520320.99
109 66 17.752 -4.462 1.8 819.600 842515.48 6520320.99
109 67 17.749 -4.487 1.8 819.700 842515.50 6520320.99
109 68 17.747 -4.512 1.8 819.800 842515.53 6520321.00
109 69 17.745 -4.537 1.8 819.900 842515.55 6520321.00
109 70 17.742 -4.563 1.8 820.000 842515.58 6520321.00
109 71 17.742 -4.563 1.8 820.100 842515.58 6520321.00
109 72 17.742 -4.563 1.8 820.200 842515.58 6520321.00
109 73 17.742 -4.563 1.8 820.300 842515.58 6520321.00
109 74 17.742 -4.563 1.8 820.400 842515.58 6520321.00
109 75 17.742 -4.563 1.8 820.500 842515.58 6520321.00
109 76 17.742 -4.563 1.8 820.600 842515.58 6520321.00
109 77 17.742 -4.563 1.8 820.700 842515.58 6520321.00
109 78 17.742 -4.563 1.8 820.800 842515.58 6520321.00
109 79 17.742 -4.563 1.8 820.900 842515.58 6520321.00
109 80 17.742 -4.563 1.8 821.000 842515.58 6520321.00
109 81 17.736 -4.571 1.8 821.100 842515.59 6520321.00
109 82 17.729 -4.580 1.8 821.200 842515.60 6520320.99
109 83 17.722 -4.589 1.8 821.300 842515.61 6520320.99
109 84 17.715 -4.598 1.8 821.400 842515.62 6520320.98
109 85 17.709 -4.606 1.8 821.500 842515.63 6520320.97
109 86 17.709 -4.606 1.8 821.600 842515.63 6520320.97
109 87 17.709 -4.606 1.8 821.700 842515.63 6520320.97
109 88 17.709 -4.606 1.8 821.800 842515.63 6520320.97
109 89 17.709 -4.606 1.8 821.900 842515.63 6520320.97
109 90 17.709 -4.606 1.8 822.000 842515.63 6520320.97
109 91 17.705 -4.648 1.8 822.100 842515.67 6520320.98
